model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.5001,0.6608802082812005,0.9997,0.0005,0.68588691
DDPM,0.50255,0.805050329669388,0.9997,0.0054,0.8181068549999999
IDDPM,0.50195,0.8019519365992445,0.9997,0.0042,0.81869397
LDM,0.50055,0.7256619980233868,0.9997,0.0014,0.7502605099999999
PNDM,0.5014,0.7810193269148236,0.9997,0.0031,0.7977460350000001
Diff-ProjectedGAN,0.5067,0.8344234489831753,0.9997,0.0137,0.837730455
Diff-StyleGAN2,0.6142,0.9737479767732216,0.9997,0.2287,0.972434895
ProGAN,0.9998,0.9999996313639534,0.9997,0.9999,0.99999963
ProjectedGAN,0.50815,0.8446317645326266,0.9997,0.0166,0.8465479650000001
StyleGAN,0.5572,0.9470973808846741,0.9997,0.1147,0.9455658849999999
