model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.5007,0.6849758712729822,0.9997,0.0017,0.70623797
DDPM,0.5052,0.8074561554595581,0.9997,0.0107,0.8186078450000001
IDDPM,0.5052,0.8136638166766232,0.9997,0.0107,0.827604945
LDM,0.5017,0.7276265845467484,0.9997,0.0037,0.7495278900000001
PNDM,0.50535,0.8129302529429446,0.9997,0.011,0.824142685
Diff-ProjectedGAN,0.5086,0.8062923272509257,0.9997,0.0175,0.81042512
Diff-StyleGAN2,0.65515,0.9780729986368035,0.9997,0.3106,0.97748878
ProGAN,0.9997,0.999999760171811,0.9997,0.9997,0.99999976
ProjectedGAN,0.5107,0.8200919971017502,0.9997,0.0217,0.822065125
StyleGAN,0.5894,0.955298841669092,0.9997,0.1791,0.9542432949999999
