model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.9975,0.9999375904418248,0.9969,0.9981,0.9999392750000001
DDPM,0.5119,0.6623371763931589,0.9969,0.0269,0.657402485
IDDPM,0.9979,0.9999537435649403,0.9969,0.9989,0.99995463
LDM,0.99575,0.9998000649169392,0.9969,0.9946,0.9998161200000001
PNDM,0.50525,0.584105135830419,0.9969,0.0136,0.58411383
Diff-ProjectedGAN,0.99365,0.999793849580618,0.9969,0.9904,0.9997991649999999
Diff-StyleGAN2,0.5871,0.8743340166494142,0.9969,0.1773,0.86858565
ProGAN,0.99785,0.9999597176605937,0.9969,0.9988,0.999960315
ProjectedGAN,0.98505,0.9994563422409469,0.9969,0.9732,0.9994699149999999
StyleGAN,0.99795,0.9999648983575783,0.9969,0.999,0.99996531
