model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.50565,0.7295587059123414,1.0,0.0113,0.681374515
DDPM,0.50005,0.6819381803902654,1.0,0.0001,0.68345454
IDDPM,0.5078,0.7914519953152936,1.0,0.0156,0.7456517999999999
LDM,0.5062,0.7867483864815239,1.0,0.0124,0.73110233
PNDM,0.74785,0.9685074773660907,1.0,0.4957,0.950459655
Diff-ProjectedGAN,0.5046,0.6990267784591115,1.0,0.0092,0.5992909000000001
Diff-StyleGAN2,0.92815,0.9977897264684387,1.0,0.8563,0.99669186
ProGAN,0.99815,0.9999997200158748,1.0,0.9963,0.9999997199999999
ProjectedGAN,0.51145,0.7525024557616062,1.0,0.0229,0.65902785
StyleGAN,0.86605,0.9927239900223912,1.0,0.7321,0.988794285
