model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.6278,0.9679872465967347,0.999,0.2566,0.967468705
DDPM,0.6575,0.9686933341131871,0.999,0.316,0.96724123
IDDPM,0.7794,0.9911622219293375,0.999,0.5598,0.990947785
LDM,0.92805,0.9990153673764137,0.999,0.8571,0.9990365999999999
PNDM,0.934,0.999088296036088,0.999,0.869,0.9990962800000001
Diff-ProjectedGAN,0.9717,0.9997049930221742,0.999,0.9444,0.99970952
Diff-StyleGAN2,0.9735,0.9997129408872698,0.999,0.948,0.99971363
ProGAN,0.99915,0.9999972124519934,0.999,0.9993,0.99999721
ProjectedGAN,0.97675,0.999772147253351,0.999,0.9545,0.99977395
StyleGAN,0.9339,0.9993852910548717,0.999,0.8688,0.99943002
