model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.8185,0.9666269806500318,0.9851,0.6519,0.9666064700000001
DDPM,0.9137,0.9898060404612713,0.9851,0.8423,0.99010201
IDDPM,0.9131,0.9892316847713085,0.9851,0.8411,0.98957358
LDM,0.98985,0.9995575500100475,0.9851,0.9946,0.9995604399999999
PNDM,0.96325,0.996113955970398,0.9851,0.9414,0.99593051
Diff-ProjectedGAN,0.863,0.9724495177731072,0.9851,0.7409,0.9687369800000001
Diff-StyleGAN2,0.96495,0.9958913302444965,0.9851,0.9448,0.99548575
ProGAN,0.9758,0.9975768487717934,0.9851,0.9665,0.9973136300000001
ProjectedGAN,0.85935,0.9713770985720692,0.9851,0.7336,0.9679526099999999
StyleGAN,0.9484,0.9926354138866246,0.9851,0.9117,0.9918228299999999
