model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.52615,0.7594665665692284,0.9965,0.0558,0.769569285
DDPM,0.5912,0.8904284126191679,0.9965,0.1859,0.88862762
IDDPM,0.5698,0.8704938594678504,0.9965,0.1431,0.8716225550000001
LDM,0.99805,0.9999940954591019,0.9965,0.9996,0.9999940599999999
PNDM,0.6015,0.819004550256335,0.9965,0.2065,0.7927894950000001
Diff-ProjectedGAN,0.51335,0.6188406653770765,0.9965,0.0302,0.61522184
Diff-StyleGAN2,0.60135,0.785051892737749,0.9965,0.2062,0.7426687750000001
ProGAN,0.5867,0.8186013122922056,0.9965,0.1769,0.80079331
ProjectedGAN,0.511,0.5826154639093011,0.9965,0.0255,0.570671705
StyleGAN,0.53895,0.6997158637343526,0.9965,0.0814,0.688278915
