model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.50455,0.5003936103798932,0.9067,0.1024,0.481657655
DDPM,0.5763,0.6788849736072787,0.9067,0.2459,0.692732465
IDDPM,0.5368,0.5939795793224628,0.9067,0.1669,0.5979551000000001
LDM,0.5206,0.5453663055154665,0.9067,0.1345,0.529214165
PNDM,0.55435,0.6280700283906064,0.9067,0.202,0.62144405
Diff-ProjectedGAN,0.53505,0.5709739674490584,0.9067,0.1634,0.5391009499999999
Diff-StyleGAN2,0.55985,0.6168830399352956,0.9067,0.213,0.586983035
ProGAN,0.5326,0.5523941954596212,0.9067,0.1585,0.503394805
ProjectedGAN,0.5222,0.5438491012375067,0.9067,0.1377,0.51938229
StyleGAN,0.5669,0.6302405006055581,0.9067,0.2271,0.5968589599999999
