model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.8083,0.9597132068208749,0.9997,0.6169,0.9461356799999999
DDPM,0.50205,0.5689151789723026,0.9997,0.0044,0.5554528299999999
IDDPM,0.83625,0.975419906935794,0.9997,0.6728,0.967847055
LDM,0.9996,0.9999824464100865,0.9997,0.9995,0.99998352
PNDM,0.50275,0.7252132401705956,0.9997,0.0058,0.7705893500000001
Diff-ProjectedGAN,0.77765,0.9790343269453794,0.9997,0.5556,0.975965005
Diff-StyleGAN2,0.52435,0.9083366777549031,0.9997,0.049,0.9131831599999999
ProGAN,0.8298,0.9754248437876514,0.9997,0.6599,0.969550385
ProjectedGAN,0.7579,0.975012364062554,0.9997,0.5161,0.9716834700000001
StyleGAN,0.8665,0.9779558595400816,0.9997,0.7333,0.971061615
