model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.5043,0.5413276395561359,0.9893,0.0193,0.543322685
DDPM,0.49885,0.5391601260651665,0.9893,0.0084,0.56819486
IDDPM,0.5035,0.5520959790790083,0.9893,0.0177,0.561062985
LDM,0.5045,0.5938732692277142,0.9893,0.0197,0.62071675
PNDM,0.4985,0.522173561360881,0.9893,0.0077,0.539858765
Diff-ProjectedGAN,0.5062,0.5392648188844784,0.9893,0.0231,0.52674618
Diff-StyleGAN2,0.5055,0.534109304669745,0.9893,0.0217,0.52092356
ProGAN,0.5076,0.5499894198665695,0.9893,0.0259,0.54133512
ProjectedGAN,0.50535,0.5374091178896381,0.9893,0.0214,0.5307725300000001
StyleGAN,0.51265,0.5859903432116205,0.9893,0.036,0.5748566850000001
