model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.5114,0.7742667680003182,0.9997,0.0231,0.7645731050000001
DDPM,0.5006,0.5014947639057336,0.9997,0.0015,0.504577485
IDDPM,0.51185,0.7602901316033004,0.9997,0.024,0.7442446850000001
LDM,0.99985,0.9999999099939918,0.9997,1.0,0.9999999100000001
PNDM,0.51735,0.8071656398770374,0.9997,0.035,0.7905207000000001
Diff-ProjectedGAN,0.52545,0.8721370223619893,0.9997,0.0512,0.86426022
Diff-StyleGAN2,0.50275,0.6022979341390075,0.9997,0.0058,0.5941011350000001
ProGAN,0.5093,0.7358603954125282,0.9997,0.0189,0.726732375
ProjectedGAN,0.53315,0.8563344608853598,0.9997,0.0666,0.8376031549999999
StyleGAN,0.51485,0.7860118106669737,0.9997,0.03,0.772605285
