model_epoch_best model testing on...
testset,accuracy,avg precision,r_acc,f_acc
ADM,0.89515,0.9955410029383891,0.9983,0.792,0.9954583699999999
DDPM,0.7756,0.9827404552253134,0.9983,0.5529,0.9817237900000001
IDDPM,0.9632,0.9988597001714716,0.9983,0.9281,0.99882874
LDM,0.9985,0.9999819035768982,0.9983,0.9987,0.99998206
PNDM,0.9987,0.9999797358866663,0.9983,0.9991,0.99998031
Diff-ProjectedGAN,0.99705,0.9999348081846083,0.9983,0.9958,0.9999346899999999
Diff-StyleGAN2,0.99825,0.999963789136405,0.9983,0.9982,0.99996483
ProGAN,0.9991,0.9999971986196499,0.9983,0.9999,0.9999972
ProjectedGAN,0.99725,0.9999547290027562,0.9983,0.9962,0.9999549
StyleGAN,0.99845,0.9999741107986246,0.9983,0.9986,0.99997479
